observation_date,WILL5000INDFC,CPIAUCSL,TB3MS,PCECC96,NAS,GOLD,HOME
1980-01-01,1.96,79.033,13.35,4025,152.53,632.255,100
1980-04-01,1.93,81.7,9.62,3934.5,145.8,544.853,101.53
1980-07-01,2.25,83.233,9.15,3976.9,177.87,649.325,104.44
1980-10-01,2.49,85.567,13.61,4029.6,198.09,628.76,104.81
1981-01-01,2.47,87.933,14.39,4050.8,199.3,518.798,105.43
1981-04-01,2.57,89.767,14.91,4050.1,217.29,478.516,107.5
1981-07-01,2.47,92.267,15.05,4066.4,200.72,421.438,109.26
1981-10-01,2.42,93.767,11.75,4035.9,195.41,420.671,109.14
1982-01-01,2.26,94.6,12.81,4062.6,180.79,361.805,110.87
1982-04-01,2.27,95.967,12.42,4077.6,179.31,332.647,111.8
1982-07-01,2.28,97.633,9.32,4109.1,173.93,380.072,110.81
1982-10-01,2.8,97.933,7.91,4184.1,221.47,427.364,112.19
1983-01-01,3.09,98,8.11,4224.8,254.99,463.218,114.2
1983-04-01,3.49,99.133,8.4,4308.4,301.07,427.334,115.37
1983-07-01,3.59,100.1,9.14,4384,304.03,416.945,116.35
1983-10-01,3.58,101.1,8.8,4453.1,281.35,387.662,117
1984-01-01,3.46,102.533,9.17,4490.9,262.5,384.009,118.73
1984-04-01,3.36,103.5,9.8,4554.9,242.99,378.799,120.28
1984-07-01,3.49,104.4,10.32,4589.9,244.87,345.549,121.48
1984-10-01,3.63,105.3,8.8,4650.6,245.27,334.706,122.46
1985-01-01,3.96,106.267,8.18,4729.7,275.15,302.17,124.14
1985-04-01,4.19,107.233,7.46,4774.1,286.22,319.146,126.04
1985-07-01,4.33,107.9,7.11,4865.8,296.46,323.499,128.04
1985-10-01,4.53,109,7.17,4878.3,302.74,324.63,129.43
1986-01-01,5.13,109.567,6.9,4919.6,347.85,343.593,131.9
1986-04-01,5.67,109.033,6.14,4974.6,389.76,341.921,134.65
1986-07-01,5.67,109.7,5.52,5064.7,373.46,380.645,136.69
1986-10-01,5.71,110.467,5.35,5097.1,355.9,404.875,138.79
1987-01-01,6.57,111.8,5.54,5097.9,409.67,406.263,141.53
1987-04-01,6.87,113.067,5.66,5168.6,421.15,449.98,143.75
1987-07-01,7.45,114.267,6.04,5228.5,439.89,456.923,145.35
1987-10-01,5.97,115.333,5.86,5239.5,340.1,473.538,146.28
1988-01-01,6.15,116.233,5.72,5332.7,357.06,453.751,148.57
1988-04-01,6.39,117.567,6.21,5371.8,378.5,451.516,151.53
1988-07-01,6.55,119,7.01,5417.7,384.13,427.162,153.1
1988-10-01,6.74,120.3,7.73,5479.7,377.89,415.213,154.54
1989-01-01,7.2,121.667,8.54,5505,399.05,394.331,156.3
1989-04-01,7.84,123.633,8.41,5530.9,434.08,374.329,158.48
